"word","n"
"#amorgay",123
"#friendship",123
"#slovenia",123
"#youtube",123
"#amordelbueno",122
"#diddy",122
"#states",122
"#all50",121
"#hrc",121
"#relationsships",121
"#rickross",121
"#smallminded",121
"#tatertits",121
"#atheism",120
"#democrats",120
"#benefits",119
"#fb",119
"#racism",118
"#besogay",117
"#kentuckyclerk",117
"#merito",117
"#breakingnews",115
"#safeschools",115
"#supremecourtruling",115
"#valorizziamo",114
"#engagement",113
"#funny",113
"#lgbtqia",113
"#periscope",113
"#victory",113
"#bisexual",112
"#equal",112
"#miami",112
"#southcarolina",112
"#huckabee",111
"#instagram",111
"#contentmarketing",110
"#pcusa",110
"#sotu",110
"#almarriage",109
"#anglican",109
"#gayagenda",109
"#legalize",109
"#redistricting",108
"#arkansas",107
"#gaymarriage>",107
"#gayweddings",107
"#ucap",107
"#eu",106
"#lol",106
"#stoprush",106
"#unitedstates",106
"#chastity",105
"#congratulations",105
"#cutelove",105
"#happypride",105
"#indiana",105
"#jebbush",105
"#loveislouder",105
"#calliegranade",104
"#merkel",104
"#queermoney",104
"#tennessee",104
"#acl",103
"#northernireland",103
"#tttv2",103
"#cai",102
"#comingout",102
"#gaymen",102
"#lgbtqi",102
"#onpoli",102
"#rwnj",102
"#adoption",101
"#london",101
"#montana",101
"#asia",99
"#burningchurches",99
"#corsistimg",99
"#fiction",99
"#gayadoption",99
"#gaycommunity",99
"#justice",98
"#liberals",98
"#marriageeqaulity",98
"#sin",97
"#towerofbabel",97
"#nbn",96
"#onemanonewoman",96
"#plannedparenthood",96
"#ricksantorum",96
"#supremecourts",96
"#glbti",95
"#happiness",95
"#ohio",95
"#virginia",95
"#equallove",94
"#labor",94
"#lgbtiq",94
"#roevwade",94
"#sanfrancisco",94
"#soundcloud",94
"#confederate",93
"#gayotter",93
"#louisiana",93
"#plebescite",93
"#pmlive",93
"#morelos",92
"#terrorism",92
"#vatican",92
"#congrats",91
"#court",91
"#familylaw",91
"#homophobic",91
"#loveforchildrenlost",90
"#loveforselfwins",90
"#parenting",90
"#tax",90
"#uk",90
"#cnn",89
"#irelandsaidyes",89
"#morelia",89
"#auspoi",88
"#chesterwenger",88
"#childabuse",88
"#debate",88
"#gaydivorce",88
"#ggb",88
"#muslims",88
"#celebratepride",87
"#ehefüralle",87
"#pride2017",87
"#dnd",86
"#tonyabbott",86
"#colombia",85
"#lifepartner",85
"#man",85
"#mormon",85
"#pope",85
"#puertorico",85
"#catholicchurch",84
"#feelthebern",84
"#freedomtomarry",84
"#hometovote",84
"#icymi",84
"#japan",84
"#lgbtnews",84
"#abouttime",83
"#angelamerkel",83
"#brexit",83
"#cdnpoli",83
"#diversity",83
"#dup",83
"#equality4all",83
"#irelands",83
"#jillarmenante",83
"#scottstorch",83
"#tbt",83
"#democracy",82
"#refugees",82
"#beauty",81
"#dublin",81
"#matrimonioigualitario",81
"#baptist",80
"#brides",80
"#christ",80
"#guns",80
"#hypocrisy",80
"#june26",80
"#life",80
"#surrogacy",80
"#theprojecttv",80
"#all50states",79
"#caitlynjenner",79
"#irelandreferendum",79
"#government",78
"#samesexmarriages",78
"#sba",78
"#travel",78
"#ncpol",77
"#uspoli",77
"#aids",76
"#celebrate",76
"#freespeech",76
"#lawyers",76
"#mixtape",76
"#nc",76
"#nofilter",76
"#pride2016",76
"#rednationrising",76
"#religious",76
"#respect",76
