source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Donald J. Trump,,2019-02-01,"President Donald J. Trump's schedule for Friday, February 1st: · Meeting on fighting human trafficking on the southern border  · Lunch with Secretary of State · Travel to Palm Beach, FL",19K,16K,425,2.3K,39,6,47,2698,/story.php?story_fbid=10162101858455725&id=153080620724
Donald J. Trump,,2019-02-01,"As one team, one people, and one American family, we can accomplish ANYTHING.",29K,23K,427,5K,43,9,59,3602,/story.php?story_fbid=10162103848700725&id=153080620724
Donald J. Trump,,2019-01-31,"Now more than ever, we need a WALL!",47K,40K,1K,4.1K,605,468,932,5614,/story.php?story_fbid=10162098158085725&id=153080620724
Donald J. Trump,,2019-01-31,"""China is finally being held accountable, and investors are starting to realize that Trump knows what he’s doing here."" I agree Dr. Gina!",63K,56K,942,5.8K,188,8,49,2570,/story.php?story_fbid=10162093414460725&id=153080620724
Donald J. Trump,,2019-01-31,"The media tries to make it look like I am against ""intelligence."" I am not! ""Questioning of the CIA and other intelligence agency assessments is precisely what a prudent leader should do before making critical decisions affecting our national security.""",Aric Chen 曉天 and 32K others,28K,722,3.1K,70,18,85,4995,/story.php?story_fbid=10162093367395725&id=153080620724
Donald J. Trump,,2019-01-31,"No more political games. It’s time to come together, make a deal, and put COUNTRY first!",36K,31K,659,4.5K,40,10,65,4137,/story.php?story_fbid=10162098003095725&id=153080620724
Donald J. Trump,,2019-01-30,It's time to put AMERICA FIRST!,29K,24K,553,4.7K,40,13,51,4365,/story.php?story_fbid=10162094594395725&id=153080620724
Donald J. Trump,,2019-01-29,"After all that I have done, does anybody really think I won’t build the WALL? Done more in first two years than any President! MAKE AMERICA GREAT AGAIN!",102K,82K,1.9K,18K,198,31,152,11339,/story.php?story_fbid=10162089194265725&id=153080620724
Donald J. Trump,,2019-01-30,It's time to prove that we can put COUNTRY before PARTY.,57K,48K,914,7.4K,82,15,81,5032,/story.php?story_fbid=10162093427140725&id=153080620724
Donald J. Trump,,2019-01-30,"When I took the Oath of Office, I swore to protect our country. And that is what I will always do. Help Build The Wall: Text ""WALL"" to 88022.",47K,39K,1K,6.5K,83,27,162,6331,/story.php?story_fbid=10162093794660725&id=153080620724
Donald J. Trump,,2019-01-29,"We are not even into February and the cost of illegal immigration so far this year is $18,959,495,168. There are at least 25,772,342 illegal aliens, not the 11,000,000 that have been reported for years, in our country. So ridiculous!",94K,50K,1.4K,1.1K,12K,2.4K,26K,16195,/story.php?story_fbid=10162085511410725&id=153080620724
Donald J. Trump,,2019-01-29,"New poll! Voters in vulnerable Democrat districts “support the president’s position on border security,"" NOT Speaker Pelosi's.",53K,46K,1.2K,5.9K,131,20,83,4802,/story.php?story_fbid=10162088559275725&id=153080620724
Donald J. Trump,,2019-01-28,Do you think the media will report on this and all of the other great economic news?,21K,17K,581,3.3K,91,22,50,2835,/story.php?story_fbid=10162074408805725&id=153080620724
Donald J. Trump,,2019-01-28,"The United States has a GREAT economic story to tell.  Number one in the world, by far!",35K,29K,681,5.5K,146,10,65,3241,/story.php?story_fbid=10162074407935725&id=153080620724
Donald J. Trump,,2019-01-28,"America is back, bigger and better and stronger than ever before!",36K,29K,969,5.7K,119,17,77,4139,/story.php?story_fbid=10162074410045725&id=153080620724
Donald J. Trump,,2019-01-27,We pledge with all of our might and resolve: never again.,73K,51K,241,7.7K,130,13K,120,4512,/story.php?story_fbid=10162081871215725&id=153080620724
Donald J. Trump,,2019-01-28,"African American, Asian American, and Hispanic American unemployment rates have reached RECORD LOWS!",26K,22K,481,3.8K,99,17,54,3184,/story.php?story_fbid=10162070218010725&id=153080620724
Donald J. Trump,,2019-01-26,"Estamos con ustedes, Venezuela. Con el gran liderazgo de nuestros aliados, el Presidente Trump y el Vicepresidente Pence hemos enviado una señal clara ––estamos con ustedes y tendrán la posibilidad de restaurar la libertad y la democracía en Venezuela de nuevamente. We are with you, Venezuela, With fearless leadership and together with our allies, President Trump and Vice-President Pence have sent a clear signal to the people of Venezuela––we are with you, and you now have the ability to restore freedom and democracy once again in Venezuela. #ElMundoConVzla",15K,13K,501,2.2K,72,23,73,3051,/story.php?story_fbid=10162078267340725&id=153080620724
Donald J. Trump,,2019-01-25,"In a short while, I will sign a bill to open our Government for three weeks until February 15th. I will make sure that all employees receive their back pay very quickly.",55K,45K,1K,7.4K,239,243,723,9733,/story.php?story_fbid=10162074472025725&id=153080620724
Donald J. Trump,,2019-01-26,"Many disagree, but I really feel that working with Democrats and Republicans, we can make a truly GREAT and SECURE deal happen for everyone.",33K,27K,732,4.4K,80,63,152,7615,/story.php?story_fbid=10162074922740725&id=153080620724
"Donald J. Trump,The White House",The White House,2019-01-25,WATCH LIVE: President Trump delivers remarks regarding the shutdown,13K,10K,458,2.3K,55,77,230,3391,/story.php?story_fbid=10162073668165725&id=153080620724
Donald J. Trump,,2019-01-25,"Let me be very clear: We have no choice but to build a powerful wall or steel barrier. If we don’t get a fair deal from Congress, the government will either shut down on February 15th, again, or I will use the powers afforded to me under the laws and the Constitution of the United States to address this emergency.",79K,64K,1.4K,12K,173,110,412,13865,/story.php?story_fbid=10162074923610725&id=153080620724
Donald J. Trump,,2019-01-24,"Los Democratas no son la voz de la comunidad Hispana en EEUU. Escuchen porque Maria Elvira Salazar una latina, apoya al President Trump y el Partido Republicano en esta entrevista con John Pence. Democrats aren't the voice for Hispanics in America. Listen to why Maria Elvira Salazar supports President Trump and the GOP as a Hispanic woman in this interview with John Pence.  #Latinos4Trump",13K,10K,583,1.7K,54,11,43,2253,/story.php?story_fbid=10162070000230725&id=153080620724
Donald J. Trump,,2019-01-25,"Securing the Southern Border is a very, very big deal. It should have been done by all of the presidents that preceded me, but they couldn't get it done. We're going to get it done!",43K,35K,780,6.5K,63,38,145,6799,/story.php?story_fbid=10162070291015725&id=153080620724
Donald J. Trump,,2019-01-25,Democrats – stop playing games and give Americans the GREAT border security they deserve!,37K,31K,817,2.2K,152,404,3.2K,10765,/story.php?story_fbid=10162069564955725&id=153080620724
Donald J. Trump,,2019-01-25,"Waiting on Democrats to come to the table!  “President Trump has repeatedly offered to reach across the table and make a deal, but Democrats won’t even attend a lunch at the White House to discuss potential compromise solutions to the border crisis.” - Dr. Lou Holtz",46K,38K,795,1.7K,442,754,5K,9125,/story.php?story_fbid=10162069521695725&id=153080620724
Donald J. Trump,,2019-01-25,"President Donald J. Trump’s schedule for Friday, January 25th: · Lunch with the Secretary of State · Discussion on economic growth with our Nation’s mayors · Roundtable with Hispanic pastors",13K,11K,392,1.5K,24,7,41,2368,/story.php?story_fbid=10162071188260725&id=153080620724
Donald J. Trump,,2019-01-24,The State of the Union Address has been canceled by Nancy Pelosi because she doesn’t want to hear the truth and she doesn’t want the American public to know the TRUTH!,66K,52K,1.2K,5.2K,773,4.1K,2.8K,13735,/story.php?story_fbid=10162069507575725&id=153080620724
Donald J. Trump,,2019-01-23,"I've put forward a commonsense plan to reopen the government and secure the border. Many of the ideas in this plan have been proposed, and previously supported, by Democrats themselves. Let's make a deal!",16K,14K,488,1.9K,36,18,85,3843,/story.php?story_fbid=10162062740000725&id=153080620724
Donald J. Trump,,2019-01-24,"If we ever let the Radical Left control our borders, we would have crime, drugs, and human trafficking like we have never seen before in the HISTORY of our country!",39K,33K,814,4.4K,108,205,234,6666,/story.php?story_fbid=10162070315000725&id=153080620724
Donald J. Trump,,2019-01-23,BUILD A WALL & CRIME WILL FALL!,88K,73K,3K,11K,135,40,209,11806,/story.php?story_fbid=10162066132890725&id=153080620724
Donald J. Trump,,2019-01-24,More people are working in the United States today than at any time in the HISTORY of our country. Media barely covers!,73K,61K,1.3K,9.7K,380,52,163,7141,/story.php?story_fbid=10162068981465725&id=153080620724
Donald J. Trump,,2019-01-22,"My poll numbers have gone way up with Hispanics. That is because they know the border issue better than anyone, and they want security!",48K,41K,1.1K,5.7K,124,18,82,3727,/story.php?story_fbid=10162062589670725&id=153080620724
Donald J. Trump,,2019-01-22,"I can promise you this: I will never forget that my first duty, and ultimate loyalty, is to YOU, the American people.",39K,31K,728,7K,42,18,121,4945,/story.php?story_fbid=10162062012070725&id=153080620724
Donald J. Trump,,2019-01-22,"This is a commonsense compromise BOTH parties should embrace – it provides humanitarian relief, delivers real border security, and immediately reopens our federal government.",31K,26K,631,4.5K,56,20,140,5162,/story.php?story_fbid=10162062016620725&id=153080620724
Donald J. Trump,,2019-01-22,"As a candidate for President, I promised I would fix this crisis, and I intend to keep that promise one way or the other.",26K,21K,513,4.5K,29,12,93,3792,/story.php?story_fbid=10162061357835725&id=153080620724
Donald J. Trump,,2019-01-23,"President Donald J. Trump’s schedule for Wednesday, January 23rd: · Briefing call on immigration proposal with State, local, and community leaders · Fair and honest pricing in healthcare roundtable · Meeting with conservative leaders on immigration proposal",12K,10K,303,1.6K,35,5,43,2592,/story.php?story_fbid=10162064916475725&id=153080620724
Donald J. Trump,,2019-01-21,"PROMISES MADE, PROMISES KEPT!",111K,94K,1.6K,14K,172,29,145,5490,/story.php?story_fbid=10162057470105725&id=153080620724
Donald J. Trump,,2019-01-21,“The fact that President Trump has been able to achieve so much of his agenda despite the coordinated campaign to defy him is astounding.”  So true. We've accomplished the unthinkable and we're still WINNING despite constant attacks!,67K,56K,1.2K,10K,107,27,115,6807,/story.php?story_fbid=10162057708700725&id=153080620724
Donald J. Trump,,2019-01-21,"Today we celebrate Dr. Martin Luther King, Jr. for standing up for the self-evident truth Americans hold so dear, that no matter what the color of our skin or the place of our birth, we are all created equal by God. https://bit.ly/2RUJNPO",51K,42K,704,7.8K,102,35,123,3720,/story.php?story_fbid=10162057747540725&id=153080620724
Donald J. Trump,,2019-01-20,"Diamond And Silk have a message for Democrats and the media:  ""The American people aren’t blind, when we look at the mess on our southern border, we see it for what it is: A CRISIS.""",32K,29K,700,2.9K,97,91,136,3757,/story.php?story_fbid=10162046923070725&id=153080620724
Donald J. Trump,,2019-01-20,"Two years ago today, I promised: “Our country will THRIVE and PROSPER again.” We’re bringing back our jobs, securing our borders, restoring our wealth, and WINNING like never before. The forgotten men and women are no longer forgotten!🇺🇸",25K,20K,722,4.1K,42,15,95,4083,/story.php?story_fbid=10162054215595725&id=153080620724
Donald J. Trump,,2019-01-19,"""As a mother who lost her child at the hands of failed immigration policies, I know just how important border security is to American families.” - Marie Vega, Angel Mom",37K,25K,177,2.1K,130,8.7K,463,3949,/story.php?story_fbid=10162043120910725&id=153080620724
Donald J. Trump,,2019-01-20,"I made a pledge to Angel Families, and to all Americans, to fix our broken immigration system. I will not stop fighting until our borders are safe and secure!  Tell Nancy you want the wall: https://bit.ly/2FLsmdN",51K,44K,528,5.8K,78,171,193,4649,/story.php?story_fbid=10162049833070725&id=153080620724
Donald J. Trump,,2019-01-19,We have a country that is being invaded by criminals and drugs and we're going to STOP IT.,Donald J. Trump and 30K others,25K,653,3.5K,177,88,247,5090,/story.php?story_fbid=10162042672285725&id=153080620724
"Donald J. Trump,The White House",The White House,2019-01-19,WATCH LIVE as President Trump Delivers Remarks on the Humanitarian Crisis on Our Southern Border and the Shutdown,19K,14K,409,4K,34,23,124,3816,/story.php?story_fbid=10162050893860725&id=153080620724
Donald J. Trump,,2019-01-19,"There is no question that we have a tremendous humanitarian and security crisis at our southern border. Every day that Democrats refuse to fund the border security measures that they supported in the past, the crisis gets worse!",18K,15K,473,2K,54,111,175,3767,/story.php?story_fbid=10162049658380725&id=153080620724
Donald J. Trump,,2019-01-18,"President Donald J. Trump’s schedule for Friday, January 18th: · Meeting with Secretary of the Treasury",14K,12K,490,1.6K,37,6,92,2563,/story.php?story_fbid=10162044987300725&id=153080620724
Donald J. Trump,,2019-01-18,"I will never, EVER back down.",112K,88K,1.6K,21K,127,30,293,10059,/story.php?story_fbid=10162046155080725&id=153080620724
Donald J. Trump,,2019-01-17,"Our goal is simple: to ensure that we can DETECT and DESTROY any missile launched against the United States—anywhere, anytime, anyplace.",25K,21K,366,3.5K,63,14,123,2997,/story.php?story_fbid=10162043008890725&id=153080620724
Donald J. Trump,,2019-01-18,I have a great idea that will give Chuck and Nancy no choice but to listen to the American people: Send a BRICK straight to their offices and remind them WE NEED THE WALL!,129K,86K,27K,13K,465,106,659,16084,/story.php?story_fbid=10162046561430725&id=153080620724
Donald J. Trump,,2019-01-18,"Hopefully, Democrat lawmakers will step forward to do what is RIGHT for our country—and what is right is border security at the STRONGEST level.",29K,25K,615,3.6K,67,52,238,4633,/story.php?story_fbid=10162043000005725&id=153080620724
Donald J. Trump,,2019-01-17,Dear Madame Speaker...,575K,362K,73K,135K,2.1K,172,936,64455,/story.php?story_fbid=10162042221195725&id=153080620724
"Donald J. Trump,The White House",The White House,2019-01-17,Watch Live: President Trump Participates in the Missile Defense Review Announcement,10K,8.2K,210,1.5K,27,10,81,1147,/story.php?story_fbid=10162041619105725&id=153080620724
Donald J. Trump,,2019-01-17,"If we don’t defend our borders, then we cease to be a nation.",74K,62K,1.2K,10K,87,33,170,6130,/story.php?story_fbid=10162041412425725&id=153080620724
Donald J. Trump,,2019-01-17,"Without a strong border, America is defenseless, vulnerable, and unprotected. We need STRONG borders!",37K,31K,647,5.2K,34,19,221,5017,/story.php?story_fbid=10162042515640725&id=153080620724
Donald J. Trump,,2019-01-17,"President Donald J. Trump’s schedule for Thursday, January 17th: · Missile Defense Review Announcement",13K,11K,401,1.5K,35,9,70,2210,/story.php?story_fbid=10162040861535725&id=153080620724
Donald J. Trump,,2019-01-16,You cannot have border security without a wall.,62K,53K,1.2K,7.7K,77,28,239,6554,/story.php?story_fbid=10162017180780725&id=153080620724
Donald J. Trump,,2019-01-16,"President Donald J. Trump’s schedule for Wednesday, January 16th: · Meeting with Problem Solvers Caucus · Lunch with Secretary of State · Signing ceremony for S. 24, “Government Employee Fair Treatment Act of 2019”",13K,11K,348,1.5K,29,7,67,2339,/story.php?story_fbid=10162036548515725&id=153080620724
Donald J. Trump,,2019-01-16,This is the reason why Democrats don’t want the wall: they all know it WORKS!,37K,31K,870,4.7K,58,31,163,4688,/story.php?story_fbid=10162035158735725&id=153080620724
Donald J. Trump,,2019-01-16,"We must have border security – not for political purposes, but for our COUNTRY and for the SAFETY of our communities.",47K,39K,681,6.6K,58,25,195,6532,/story.php?story_fbid=10162038778835725&id=153080620724
Donald J. Trump,,2019-01-16,It is becoming more and more obvious that the Radical Democrats are a party of open borders and crime. They want nothing to do with the major Humanitarian Crisis on our Southern Border. 2020!,33K,28K,766,3.5K,112,276,510,6017,/story.php?story_fbid=10162037392620725&id=153080620724
Donald J. Trump,,2019-01-15,The crisis of illegal immigration impacts ALL Americans.,30K,26K,558,3.4K,71,50,123,4538,/story.php?story_fbid=10162035135455725&id=153080620724
Donald J. Trump,,2019-01-15,Veterans unemployment has reached an 18-YEAR LOW. Do you think the media will report on this and all of the other great economic news?,15K,12K,283,2.4K,64,19,38,1977,/story.php?story_fbid=10162034583740725&id=153080620724
Donald J. Trump,,2019-01-15,"Democrats used to support funding for border security, but now they've changed their minds. POLITICS!",6.2K,5.2K,212,457,64,69,155,1325,/story.php?story_fbid=10162033345325725&id=153080620724
Donald J. Trump,,2019-01-15,More and more people are realizing that the Democrats care more about power than doing what is right for the country. I am fighting for ALL Americans!,27K,23K,664,3K,54,43,108,3339,/story.php?story_fbid=10162033305165725&id=153080620724
Donald J. Trump,,2019-01-15,Working hard!,22K,19K,794,1.9K,55,6,77,1919,/story.php?story_fbid=10162035822545725&id=153080620724
Donald J. Trump,,2019-01-15,"Volkswagen will be investing $800 million to build electric cars in the U.S. Congratulations to Chattanooga, Tennessee. A BIG WIN!",112K,100K,411,8.6K,1.8K,48,89,4327,/story.php?story_fbid=10162033385475725&id=153080620724
Donald J. Trump,,2019-01-15,"President Donald J. Trump’s schedule for Tuesday, January 15th: · Lunch with Members of Congress · Briefing call on the border crisis with State, local, and community leaders",15K,12K,363,1.7K,37,10,56,3255,/story.php?story_fbid=10162033055985725&id=153080620724
"Donald J. Trump,The White House",The White House,2019-01-14,WATCH LIVE: President Trump Delivers Remarks at the American Farm Bureau Federation's 100th Annual Convention,12K,10K,253,2.2K,33,15,63,1397,/story.php?story_fbid=10162030122680725&id=153080620724
Donald J. Trump,,2019-01-14,We cannot sit by while the border crisis gets worse. Republicans are ROCK SOLID on a border wall – Democrats have to do something!,39K,33K,801,4.9K,65,27,148,6574,/story.php?story_fbid=10162030174870725&id=153080620724
Donald J. Trump,,2019-01-14,There is a massive humanitarian crisis at our southern border – even 71% of Democrats agree. You need GREAT border security!,50K,43K,1.2K,4.5K,184,59,182,7846,/story.php?story_fbid=10162018438245725&id=153080620724
Donald J. Trump,,2019-01-11,"The Fake News Media keeps saying we haven’t built any NEW WALL. Below is a section just completed on the border. Anti-climbing feature included. Very high, strong and beautiful! Also, many miles already renovated and in service!",129K,107K,2.3K,18K,567,43,207,14866,/story.php?story_fbid=10162017260345725&id=153080620724
Donald J. Trump,,2019-01-11,"In life, there are certain principles worth fighting for – principles that are more important than politics, party, or personal convenience... The safety and security and sovereignty of the United States is the most important principle of all.",49K,40K,811,8K,64,15,124,6467,/story.php?story_fbid=10162013523575725&id=153080620724
Donald J. Trump,,2019-01-11,This is the tragic reality of illegal immigration on our southern border.  This is the cycle of human suffering I am determined to END.,68K,57K,732,6K,2.2K,1.2K,934,10048,/story.php?story_fbid=10162018365330725&id=153080620724
Donald J. Trump,,2019-01-12,Ending the border crisis with a barrier or border wall that is PROVEN to work is just common sense!,63K,55K,1.1K,6.6K,80,28,158,9421,/story.php?story_fbid=10162018370340725&id=153080620724
Donald J. Trump,,2019-01-14,"The people are with us 100%.  Nobody wants criminals, gangs, and drugs pouring into their country!",53K,45K,898,6.9K,66,23,155,7034,/story.php?story_fbid=10162018416865725&id=153080620724
Donald J. Trump,,2019-01-10,"""The American people want border security, not continued obstructionism. If the Democrats truly care about border security, they should immediately fund the border wall."" - Dan Bongino",53K,47K,954,5.2K,63,20,167,6696,/story.php?story_fbid=10162010332300725&id=153080620724
Donald J. Trump,,2019-01-11,"I will never back down when it comes to fighting for the security of the American people. The Democrats and mainstream media know we need strong border security, but they don't want to give ""Trump"" another win!",22K,19K,607,2.7K,47,55,126,3786,/story.php?story_fbid=10162012286840725&id=153080620724
"Donald J. Trump,The White House",The White House,2019-01-10,From the Southern Border....President Donald J. Trump - from the Southern Border....,83K,69K,971,12K,108,20,138,5843,/story.php?story_fbid=10162014260490725&id=153080620724
Donald J. Trump,,2019-01-11,"President Donald J. Trump’s schedule for Friday, January 11th: · Roundtable discussion on border security and safe communities with State, local, and community leaders",14K,12K,387,1.8K,25,14,60,2925,/story.php?story_fbid=10162015330180725&id=153080620724
Donald J. Trump,,2019-01-10,"During the campaign, I said Mexico is going to pay for the wall, and they are. They are paying for it through the many billions of dollars a year that the U.S. is saving with the incredible USMCA trade deal!",44K,36K,2K,5.6K,100,21,159,6958,/story.php?story_fbid=10162013874095725&id=153080620724
Donald J. Trump,,2019-01-10,This is about whether we fulfill our sacred duty to the American citizens we serve.,35K,29K,754,4.8K,44,20,111,4400,/story.php?story_fbid=10162012867870725&id=153080620724
Donald J. Trump,,2019-01-10,79 percent of voters believe there is either a “crisis” or “problem” at our Southern Border!,40K,36K,812,2.8K,150,62,150,6215,/story.php?story_fbid=10162012191145725&id=153080620724
"Donald J. Trump,Charlie Kirk",Charlie Kirk,2019-01-10,"BUILD THE WALL!We are not a nation without a border. Every day we leave our borders open, we let drugs, crime, and human traffickers flow freely in and out of our country FACT: 95% of Border Patrol agents when surveyed support the wall Let's make their jobs easier. BUILD THE WALL!",104K,90K,847,12K,265,44,173,6296,/story.php?story_fbid=10162013146790725&id=153080620724
Donald J. Trump,,2019-01-10,"Our country is doing so well in so many ways – great jobs numbers, rebuilding our military, taking care of veterans, strong economy, historic tax cuts, slashed regulations, and great trade deals. But we MUST fix our Southern Border!",27K,22K,561,3.6K,38,20,100,3603,/story.php?story_fbid=10162010289920725&id=153080620724
Donald J. Trump,,2019-01-10,"‪President Obama, thank you for your great support – I have been saying this all along!‬",109K,79K,19K,8.6K,857,55,455,9200,/story.php?story_fbid=10162012848980725&id=153080620724
Donald J. Trump,,2019-01-09,Some have suggested a barrier is immoral… The only thing that is immoral is the politicians to do NOTHING and continue to allow more innocent people to be so horribly victimized.,42K,36K,673,5.8K,66,63,167,7150,/story.php?story_fbid=10162009067950725&id=153080620724
Donald J. Trump,,2019-01-09,The Border Wall would very quickly PAY FOR ITSELF. The cost of illegal drugs exceeds $500 billion dollars a year – vastly more than the $5.7 billion dollars we have requested from Congress.,41K,34K,845,5.3K,70,29,136,6170,/story.php?story_fbid=10162008335065725&id=153080620724
Donald J. Trump,,2019-01-09,"America First, always.",92K,72K,1.2K,18K,102,26,118,7318,/story.php?story_fbid=10162008667860725&id=153080620724
Donald J. Trump,,2019-01-09,"Just left a meeting with Chuck and Nancy, a total waste of time. I asked what is going to happen in 30 days if I quickly open things up, are you going to approve Border Security which includes a Wall or Steel Barrier? Nancy said, NO. I said bye-bye, nothing else works!",270K,213K,14K,35K,1.7K,1.6K,3K,60290,/story.php?story_fbid=10162009328160725&id=153080620724
Donald J. Trump,,2019-01-10,"President Donald J. Trump's schedule for Thursday, January 10th: · Travel to McAllen, TX  · Roundtable on immigration and border security  · Briefing on border security · Travel to Washington, D.C.",17K,14K,320,2.4K,35,9,46,2892,/story.php?story_fbid=10162010936285725&id=153080620724
Donald J. Trump,,2019-01-09,The federal government remains shut down for one reason and one reason only: Because Democrats will not fund border security.,49K,41K,676,5.8K,135,350,1.6K,9254,/story.php?story_fbid=10162008271890725&id=153080620724
Donald J. Trump,,2019-01-08,"What’s more important to the Democrats? Stopping me from fulfilling another one of my promises, or working together to secure the border? Americans want border security!",85K,75K,1.2K,7.9K,91,72,234,10389,/story.php?story_fbid=10162004985085725&id=153080620724
Donald J. Trump,,2019-01-08,To every Member of Congress: pass a bill that ends this crisis. To every citizen: call Congress and tell them to finally – after all of these decades – SECURE OUR BORDER.,61K,50K,1K,10K,93,74,180,7665,/story.php?story_fbid=10162006686215725&id=153080620724
"Donald J. Trump,The White House",The White House,2019-01-08,WATCH LIVE as President Trump Addresses the Nation,51K,39K,729,11K,71,32,186,6281,/story.php?story_fbid=10162006138575725&id=153080620724
Donald J. Trump,,2019-01-09,"President Donald J. Trump’s schedule for Wednesday, January 9th: · Signing ceremony for Anti-Human Trafficking Legislation · Senate Republican policy lunch · Meeting with Congressional Leadership",18K,15K,302,2.5K,42,9,40,3185,/story.php?story_fbid=10162007580470725&id=153080620724
Donald J. Trump,,2019-01-08,"We created more than a quarter-million jobs last month. Employers are showing great confidence in our economy despite all the negativity coming from anti-Trump economic “experts!""",20K,17K,479,2.1K,52,10,56,2253,/story.php?story_fbid=10162000304070725&id=153080620724
Donald J. Trump,,2019-01-08,"Illegal immigration costs our nation $275 BILLION a year, MILLIONS of jobs, and THOUSANDS of innocent lives. What is it going to take to finally secure our border?",62K,54K,1K,6.3K,581,282,462,9826,/story.php?story_fbid=10162004527235725&id=153080620724
Donald J. Trump,,2019-01-07,Our latest jobs numbers are off the charts! Not even the mainstream media can ignore these incredible economic gains!,29K,24K,461,4.4K,115,3,47,3063,/story.php?story_fbid=10162000852905725&id=153080620724
Donald J. Trump,,2019-01-07,The Fake News Media is the Enemy of the People!,65K,56K,1.4K,6.9K,114,121,355,9290,/story.php?story_fbid=10162001293050725&id=153080620724
Donald J. Trump,,2019-01-08,We must PROTECT and DEFEND the United States. We have no choice.,119K,99K,1.1K,17K,89,21,181,8996,/story.php?story_fbid=10162005076760725&id=153080620724
Donald J. Trump,,2019-01-06,,315K,237K,24K,51K,1.1K,195,894,31765,/story.php?story_fbid=10161996092010725&id=153080620724
Donald J. Trump,,2019-01-04,"Think of this: Democrats want $12 billion in addition to the $54 billion we give in foreign aid, but they won’t approve $5.6 billion for a wall.",96K,68K,1K,2.9K,2.2K,3.5K,18K,20026,/story.php?story_fbid=10161988593545725&id=153080620724
Donald J. Trump,,2019-01-07,"We are now planning a steel barrier rather than concrete. Stronger, less obtrusive, and made in the U.S.A.",76K,62K,1.8K,11K,173,35,184,9705,/story.php?story_fbid=10162000309830725&id=153080620724
Donald J. Trump,,2019-01-06,- Record number of employed Americans  - Average hourly earnings up 3.2% - Participation rate up to 63.1% - 'Trump-Era High' And we will do even better with new trade deals and all else!,54K,46K,711,7.1K,184,13,81,4885,/story.php?story_fbid=10161996138495725&id=153080620724
Donald J. Trump,,2019-01-05,BOTTOM LINE: You cannot have REAL border security without the WALL. Look at all of the countries that have walls – they work 100%!,55K,46K,1.3K,7.2K,77,38,192,10409,/story.php?story_fbid=10161988641275725&id=153080620724
Donald J. Trump,,2019-01-04,We ended 2018 STRONG - best year for job creation since 2015!,62K,51K,1.1K,9.1K,290,14,101,5479,/story.php?story_fbid=10161988383850725&id=153080620724
Donald J. Trump,,2019-01-04,JOBS JOBS JOBS!,57K,48K,810,8.4K,313,18,81,4879,/story.php?story_fbid=10161987946495725&id=153080620724
"Donald J. Trump,The White House",The White House,2019-01-04,Build the wall.,44K,36K,474,3.5K,520,350,2.9K,8460,/story.php?story_fbid=10161986620050725&id=153080620724
Donald J. Trump,,2019-01-03,This isn't just a border... This is EVERYTHING.,96K,80K,1.7K,13K,134,43,215,10087,/story.php?story_fbid=10161984301930725&id=153080620724
Donald J. Trump,,2019-01-03,We spend more in Afghanistan in ONE MONTH than what we're talking about spending on the wall.,86K,73K,645,7.5K,3.9K,349,719,8449,/story.php?story_fbid=10161983697045725&id=153080620724
Donald J. Trump,,2019-01-02,"Democrats’ immigration policies are reckless and extreme. They want totally open borders, which means drugs and crime will pour into our country.  We need a STRONG and SECURE Southern Border!",Ryan Moore and 49K others,35K,619,2.4K,731,996,8.8K,8685,/story.php?story_fbid=10161980116010725&id=153080620724
Donald J. Trump,,2019-01-02,"We’ve done so much to advance the America First agenda – we can’t let our progress go to waste. This year, it’s more important than ever that we continue the FIGHT to Make America Great Again!",Ryan Moore and 19K others,16K,516,2.4K,29,9,62,2490,/story.php?story_fbid=10161954786155725&id=153080620724
Donald J. Trump,,2019-01-02,"Here we go with Mitt Romney, but so fast! Question will be, is he a Flake?  I hope not. Would much prefer that Mitt focus on Border Security and so many other things where he can be helpful. I won big, and he didn’t. He should be happy for all Republicans. Be a TEAM player & WIN!",54K,47K,1.9K,4.8K,151,89,209,7444,/story.php?story_fbid=10161981508160725&id=153080620724
Donald J. Trump,,2019-01-02,"For FAR TOO LONG Senate Democrats have been obstructing more than 350 nominations. These great Americans left their jobs to serve our country, but can’t because Democrats are blocking them, some for two years - HISTORIC record.",23K,15K,486,1K,571,560,5.9K,4020,/story.php?story_fbid=10161980262725725&id=153080620724
Donald J. Trump,,2019-01-02,"""MAGA list: 205 ‘historic results’ help Trump make case for 2020 re-election"" True!",47K,40K,1K,5.8K,76,12,86,3133,/story.php?story_fbid=10161978911730725&id=153080620724
Donald J. Trump,,2019-01-02,"We wish everyone a very safe, prosperous, and Happy New Year!",122K,97K,1.2K,23K,250,27,94,7109,/story.php?story_fbid=10161978765465725&id=153080620724
Donald J. Trump,,2018-12-31,"Join us as we reflect on yet another year of PROMISES MADE and PROMISES KEPT. With all that we've accomplished, we know that 2019 is going to be bigger and better than ever before!",41K,33K,911,6.8K,77,19,103,6850,/story.php?story_fbid=10161965784485725&id=153080620724
Donald J. Trump,,2018-12-29,It’s been another year of success despite extraordinary opposition from the Democrats and Fake News Media. Millions of Americans are finally back to work and prospering again!,26K,22K,934,3.4K,62,10,110,5515,/story.php?story_fbid=10161953957635725&id=153080620724
Donald J. Trump,,2019-01-01,"We hope everyone has a very safe, prosperous, and Happy New Year!",55K,46K,510,8.7K,71,17,87,5809,/story.php?story_fbid=10161937226240725&id=153080620724
