source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Donald J. Trump,,2019-02-26,Senate Democrats voted against legislation to prevent the killing of newborn infant children. The Democrat position on abortion is now so extreme that they don’t mind executing babies AFTER birth. This will be remembered as one of the most shocking votes in the history of Congress.,63K,38K,364,2.2K,956,11K,9K,9134,/story.php?story_fbid=10162213083655725&id=153080620724
Donald J. Trump,,2019-02-25,"We will be having ""A Salute To America"" gathering on July 4th in Washington, D.C. at the Lincoln Memorial. Hold the date!",42K,32K,1K,8.7K,143,9,39,3602,/story.php?story_fbid=10162210055525725&id=153080620724
Donald J. Trump,,2019-02-25,At the end of the last administration we were heading for a total disaster with North Korea! Today we have a much different situation.,35K,28K,2.1K,4.7K,61,16,44,4251,/story.php?story_fbid=10162209167315725&id=153080620724
Donald J. Trump,,2019-02-26,We are achieving extraordinary prosperity in the U.S. as a result of putting AMERICA First!,33K,27K,512,4.9K,79,6,38,2764,/story.php?story_fbid=10162212694295725&id=153080620724
Donald J. Trump,,2019-02-25,"I am pleased to report that the U.S. has made substantial progress in our trade talks with China on important structural issues including intellectual property protection, technology transfer, agriculture, services, currency, and many other issues. As a result of these very productive talks, I will be delaying the U.S. increase in tariffs now scheduled for March 1. Assuming both sides make additional progress, we will be planning a Summit for President Xi and myself, at Mar-a-Lago, to conclude an agreement. A very good weekend for U.S. & China!",28K,23K,419,3.5K,60,8,45,2600,/story.php?story_fbid=10162209198065725&id=153080620724
Donald J. Trump,,2019-02-26,"It is my honor to announce that Danny Burch, a United States citizen who has been held hostage in Yemen for 18 months, has been recovered and reunited with his wife and children.",98K,79K,246,18K,678,8,34,5210,/story.php?story_fbid=10162212867190725&id=153080620724
Donald J. Trump,,2019-02-25,I will VETO any resolution from Congress that does not allow the U.S. to have strong borders!,48K,40K,640,7.9K,65,10,99,4749,/story.php?story_fbid=10162209118225725&id=153080620724
Donald J. Trump,,2019-02-24,"For the first time, in a very long time, our country is WINNING again!",40K,33K,751,6.2K,81,12,69,4119,/story.php?story_fbid=10162190715765725&id=153080620724
Donald J. Trump,,2019-02-24,"""Anti-conservative censorship online has gone from bad to worse. As major social media platforms start to target me for censorship, I shudder to think what it means for millions of other Americans, especially as we approach the 2020 presidential campaign.""",33K,23K,612,534,1.9K,794,6.5K,4718,/story.php?story_fbid=10162201650830725&id=153080620724
Donald J. Trump,,2019-02-25,"The fake news media and radical left-wing politicians want me to fail so badly. But, I will never let the American people down!",21K,18K,498,3K,50,15,50,2649,/story.php?story_fbid=10162205121175725&id=153080620724
Donald J. Trump,,2019-02-25,"President Donald J. Trump's schedule for Monday, February 25th: -Participate in 2019 White House Business Session with Our Nation’s Governors -Depart Washington, D.C. en route to Hanoi, Vietnam",15K,12K,293,1.9K,54,2,27,2343,/story.php?story_fbid=10162206633225725&id=153080620724
Donald J. Trump,,2019-02-23,This month we honor the legacy of African Americans who bravely battled oppression to usher in a new dawn of freedom for America.,15K,12K,279,2K,31,8,48,2039,/story.php?story_fbid=10162196291415725&id=153080620724
Donald J. Trump,,2019-02-23,"This week my administration took the necessary steps to defend America's interest at home, abroad and in space!",10K,8.8K,338,1.4K,24,4,36,2133,/story.php?story_fbid=10162197169820725&id=153080620724
Donald J. Trump,,2019-02-22,MAGA!,30K,25K,682,4.2K,118,52,168,3407,/story.php?story_fbid=10162196553430725&id=153080620724
Donald J. Trump,,2019-02-22,Our economy is one of the best in history. We are doing tremendous things for American families and businesses!,12K,10K,364,1.7K,25,5,31,1842,/story.php?story_fbid=10162195562185725&id=153080620724
Donald J. Trump,,2019-02-23,"""While legal immigrants are required to receive an extensive series of inoculations, including the measles vaccine, there is no way to ensure that illegal immigrants are free from measles or other contagious diseases.""",34K,29K,368,1.2K,620,341,2.7K,4420,/story.php?story_fbid=10162197182005725&id=153080620724
Donald J. Trump,,2019-02-22,"I want 5G, and even 6G, technology in the United States as soon as possible. It is far more powerful, faster, and smarter than the current standard. American companies must step up their efforts, or get left behind. There is no reason that we should be lagging behind on something that is so obviously the future. I want the United States to win through competition, not by blocking out currently more advanced technologies. We must always be the leader in everything we do, especially when it comes to the very exciting world of technology!",38K,32K,971,4K,163,99,319,5132,/story.php?story_fbid=10162195510030725&id=153080620724
Donald J. Trump,,2019-02-22,The Fake News Media intentionally demeans the great work we are doing for the country. We will not let it get in the way of our success!,35K,30K,1K,3.6K,57,74,148,5132,/story.php?story_fbid=10162196185360725&id=153080620724
Donald J. Trump,,2019-02-22,"President Donald J. Trump's schedule for Friday, February 22nd: -Meet with the Vice Premier of the People’s Republic of China -Deliver Remarks at the Republican Governors Association event",8.9K,7.4K,226,1.1K,28,4,22,1574,/story.php?story_fbid=10162193844035725&id=153080620724
Donald J. Trump,,2019-02-21,I will keep delivering for the American people. THANK YOU! #MAGA,30K,24K,572,4.6K,34,6,47,3467,/story.php?story_fbid=10162190706120725&id=153080620724
Donald J. Trump,,2019-02-22,"""As the race for the Democratic presidential nomination heats up, the candidates have engaged in an escalating competition to claim the most radical policy agenda.""",20K,12K,5.9K,603,323,173,336,4307,/story.php?story_fbid=10162191293275725&id=153080620724
Donald J. Trump,,2019-02-21,"If we don't have a border, we don't have a country!",77K,63K,1.5K,12K,183,27,156,6794,/story.php?story_fbid=10162190755105725&id=153080620724
Donald J. Trump,,2019-02-21,"For the latest news from my campaign, subscribe to the Donald J. Trump for President podcast now! Get it on iTunes: https://itunes.apple.com/us/podcast/donald-j-trump-for-president/id1446455762 Get it on Spotify: https://open.spotify.com/show/3nyFqXR9pv5U5h2sVc0t7N Get it on Google Play: https://play.google.com/music/listen?u=0#/ps/Ivd3es5lohyatzo5rsqenyzks3q",7.7K,6.3K,335,977,22,4,40,1233,/story.php?story_fbid=10162190293950725&id=153080620724
Donald J. Trump,,2019-02-21,'Medicare for All' would be a total disaster for our country!,31K,22K,2.1K,622,514,319,4.8K,8862,/story.php?story_fbid=10162191341180725&id=153080620724
Donald J. Trump,,2019-02-21,Keep America Safe!,78K,65K,758,11K,99,19,58,7051,/story.php?story_fbid=10162191169875725&id=153080620724
Donald J. Trump,,2019-02-21,"President Donald J. Trump's schedule for Thursday, February 21st: -Receive intelligence briefing -Lunch with the Acting Secretary of the Interior -Participate in a reception for National African American History Month",9.1K,7.5K,261,1.2K,20,6,24,1664,/story.php?story_fbid=10162187828380725&id=153080620724
Donald J. Trump,,2019-02-20,The Fake News is ignoring basic journalistic standards because of their left-wing political agenda! #FakeNews #MAGA 🇺🇸,26K,22K,871,2.6K,88,246,219,4699,/story.php?story_fbid=10162185870475725&id=153080620724
Donald J. Trump,,2019-02-20,America is winning because we are finally putting AMERICA FIRST!,19K,15K,399,3.2K,26,5,53,2951,/story.php?story_fbid=10162187620065725&id=153080620724
Donald J. Trump,,2019-02-20,"""China wants to become the world leader in artificial intelligence (AI) by 2030, and President Donald Trump is taking the necessary steps to ensure that won’t happen.""",21K,18K,863,1.9K,199,17,49,2697,/story.php?story_fbid=10162182027700725&id=153080620724
Donald J. Trump,,2019-02-20,"President Donald J. Trump's schedule for Wednesday, February 20th: -Lunch with the Secretary of State -Bilateral meeting with the Federal Chancellor of the Republic of Austria",8.2K,6.9K,245,1K,18,2,20,1690,/story.php?story_fbid=10162184207435725&id=153080620724
Donald J. Trump,,2019-02-19,Constitutional freedoms are under attack by radical left-wing politicians in America!,9.5K,7.7K,345,614,87,103,596,2000,/story.php?story_fbid=10162179642690725&id=153080620724
Donald J. Trump,,2019-02-19,"Today, I signed a directive that brought America one step closer to establishing a Space Force. The Space Force will keep Americans safe and protect the interests of our great nation!",18K,15K,688,2.4K,88,5,54,3043,/story.php?story_fbid=10162183188390725&id=153080620724
Donald J. Trump,,2019-02-19,I will continue to take my message directly to the American people and avoid the filter of the Fake News Media!,146K,125K,1.8K,19K,124,26,126,7741,/story.php?story_fbid=10162182024290725&id=153080620724
Donald J. Trump,,2019-02-19,"President Trump supports the people of #Venezuela and stands shoulder-to-shoulder with those in search of #Democracy and #Freedom in #Venezuela — like the mother of #ÓscarPerez.  Senior Advisor John Pence habla del gran discurso de Presidente Trump, en Español:",9.4K,7.8K,195,1.3K,23,74,34,1221,/story.php?story_fbid=10162181809390725&id=153080620724
Donald J. Trump,,2019-02-19,The world is beginning to realize that socialism is nothing more than a failed ideology that leads to total catastrophe.,18K,15K,487,2.3K,48,13,58,2720,/story.php?story_fbid=10162182347590725&id=153080620724
Donald J. Trump,,2019-02-19,Socialism has failed in Venezuela. We must never allow socialism in America!,18K,16K,361,2.3K,56,50,60,2404,/story.php?story_fbid=10162182313620725&id=153080620724
